"highSchool","name","shoots","anio","mes","dia","Altura_CM","Altura_CM_DOS","PesoNuevo"
"Garey in Pomona, California","Greg Ballard","Right","1955","01","29",182.88,213.36,96.75
"New Castle in New Castle, Pennsylvania","Herschel Baltimore","Right","1921","06","21",182.88,121.92,87.75
"Westtown School in West Chester, Pennsylvania","Mohamed Bamba","Right","1998","05","12",213.36,0,99.45
"West Philadelphia in Philadelphia, Pennsylvania","Gene Banks","Right","1959","05","15",182.88,213.36,96.75
"Cimarron Memorial in Las Vegas, Nevada","Marcus Banks","Right","1981","11","19",182.88,60.96,90
"Oak Hill Academy in Mouth of Wilson, Virginia","Walker Banks","Right","1947","08","26",182.88,304.8,92.25
"Southwestern in Baltimore, Maryland","Ken Bannister","Right","1960","04","01",182.88,274.32,105.75
"Roman Catholic in Philadelphia, Pennsylvania","Mike Bantom","Right","1951","12","03",182.88,274.32,90
"Pruitt in Atlanta, Texas","John Barber","Right","1927","06","27",182.88,182.88,94.5
"Oak Hill Academy in Mouth of Wilson, Virginia","Leandro Barbosa","Right","1982","11","28",182.88,91.44,87.3
"Carbondale in Carbondale, Illinois","Steve Bardo","Right","1968","04","05",182.88,152.4,85.5
"Miami Christian School in Miami, Florida","J.J. Barea","Right","1984","06","26",182.88,0,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Andrea Bargnani","Right","1985","10","26",213.36,0,110.25
"Yorktown in Yorktown, Indiana","Cliff Barker","Right","1921","01","15",182.88,60.96,83.25
"Welasco in Harlingen, Texas","Tom Barker","Right","1955","03","11",182.88,335.28,101.25
"Leeds in Leeds, Alabama","Charles Barkley","Right","1963","02","20",182.88,182.88,113.4
"Maine Central Institute in Pittsfield, Maine","Erick Barkley","Right","1978","02","21",182.88,30.48,79.65
"Berkeley in Berkeley, California","Don Barksdale","Right","1923","03","31",182.88,182.88,90
"Ames in Ames, Iowa","Harrison Barnes","Right","1992","05","30",182.88,243.84,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Harry Barnes","Right","1945","07","25",182.88,91.44,92.25
"Stillwater in Stillwater, Oklahoma","Jim Barnes","Right","1941","04","13",182.88,243.84,94.5
"Central in Providence, Rhode Island","Marvin Barnes","Right","1952","07","27",182.88,243.84,94.5
"Del Campo in Sacramento, California","Matt Barnes","Right","1980","03","09",182.88,213.36,101.7
"Roosevelt in Gary, Indiana","Dick Barnett","Left","1936","10","02",182.88,121.92,85.5
"Ramona in Riverside, California","Jim Barnett","Right","1944","07","07",182.88,121.92,76.5
"Mervo in Baltimore, Maryland","Nathaniel Barnett","Right","1953","01","29",182.88,91.44,78.75
"Lincoln in Evansville, Indiana","John Barnhill","Right","1938","03","20",182.88,30.48,81
"Oak Hill Academy in Mouth of Wilson, Virginia","Norton Barnhill","Right","1953","07","15",182.88,121.92,92.25
"Cathedral in Indianapolis, Indiana","Leo Barnhorst","Right","1924","05","11",182.88,121.92,85.5
"Shamokin in Shamokin, Pennsylvania","John Barr","Right","1918","08","08",182.88,91.44,92.25
"Lehman in Canton, Ohio","Mike Barr","Right","1950","10","19",182.88,91.44,81
"Penn Hills in Penn Hills, Pennsylvania","Moe Barr","Right","1944","06","19",182.88,121.92,87.75
"Rice in New York, New York","Andre Barrett","Right","1982","02","21",152.4,304.8,77.4
"Wellington in Wellington, Kansas","Ernie Barrett","Right","1929","08","27",182.88,91.44,81
"Richwood in Richwood, West Virginia","Mike Barrett","Right","1943","09","05",182.88,60.96,69.75
"Clarksdale in Clarksdale, Mississippi","Earl Barron","Right","1981","08","14",213.36,0,112.5
"Xaverian in Westwood, Massachusetts","Dana Barros","Right","1967","04","13",152.4,335.28,73.35
"De La Salle Catholic in Concord, California","Brent Barry","Right","1971","12","31",182.88,182.88,83.25
"De La Salle Catholic in Concord, California","Drew Barry","Right","1973","02","17",182.88,152.4,85.95
"De La Salle Catholic in Concord, California","Jon Barry","Right","1969","07","25",182.88,121.92,87.75
"Roselle Park in Roselle Park, New Jersey","Rick Barry","Right","1944","03","28",182.88,213.36,92.25
"La Salle Academy in New York, New York","Ed Bartels","Right","1925","10","08",182.88,152.4,87.75
"Santa Barbara in Santa Barbara, California","Vic Bartolome","Right","1948","09","29",213.36,0,103.5
"Brewster Academy in Wolfeboro, New Hampshire","Will Barton","Right","1991","01","06",182.88,182.88,85.5
"Eleanor Roosevelt in Greenbelt, Maryland","Eddie Basden","Right","1983","02","15",182.88,152.4,96.75
"Thomas Edison in Philadelphia, Pennsylvania","Jerry Baskerville","Right","1951","11","10",182.88,213.36,85.5
"Capitol in Baton Rouge, Louisiana","Brandon Bass","Right","1985","04","30",182.88,243.84,112.5
"McKinley in Washington, District of Columbia","Tim Bassett","Left","1951","04","01",182.88,243.84,101.25
"H. Grady Spruce in Dallas, Texas","Maceo Baston","Right","1975","05","29",182.88,274.32,96.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Mengke Bateer","Right","1975","11","20",182.88,335.28,130.5
"McAdams in Camden, Mississippi","Billy Ray Bates","Right","1956","05","31",182.88,121.92,94.5
"University HS in Normal, Illinois","Keita Bates-Diop","Right","1996","01","23",182.88,274.32,103.05
"Oak Hill Academy in Mouth of Wilson, Virginia","Esteban Batista","Left","1983","09","02",182.88,304.8,121.5
"Wilson in Long Beach, California","Mike Batiste","Right","1977","11","21",182.88,243.84,101.25
"South Oak Cliff in Dallas, Texas","Tony Battie","Right","1976","02","11",182.88,335.28,103.5
"Detroit Country Day School in Beverly Hills, Michigan","Shane Battier","Right","1978","09","09",182.88,243.84,99
"McKinley in Washington, District of Columbia","John Battle","Right","1962","11","09",182.88,60.96,78.75
"West Aurora in Aurora, Illinois","Kenny Battle","Left","1964","10","10",182.88,182.88,94.5
"Springfield (Delco) in Springfield, Pennsylvania","Dave Batton","Right","1956","03","26",182.88,304.8,108
"Thornton Township in Harvey, Illinois","Lloyd Batts","Right","1951","05","09",182.88,121.92,83.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Nicolas Batum","Right","1988","12","14",182.88,243.84,90
"West Philadelphia in Philadelphia, Pennsylvania","Johnny Baum","Right","1946","06","17",182.88,152.4,90
"Midvale in Midvale, Ohio","Frankie Baumholtz","Left","1918","10","07",152.4,304.8,76.5
"Hargrave Military Academy in Chatham, Virginia","Lonny Baxter","Right","1979","01","27",182.88,243.84,117
"Saint Mary's in Phoenix, Arizona","Jerryd Bayless","Right","1988","08","20",182.88,91.44,90
"Spingarn in Washington, District of Columbia","Elgin Baylor","Right","1934","09","16",182.88,152.4,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Howard Bayne","Right","1942","07","28",182.88,182.88,105.75
"Oak Hill Academy in Mouth of Wilson, Virginia","Aron Baynes","Right","1986","12","09",182.88,304.8,117
"Oak Hill Academy in Mouth of Wilson, Virginia","Sergei Bazarevich","Right","1965","03","16",182.88,60.96,75.6
"Bertie in Windsor, North Carolina","Kent Bazemore","Left","1989","07","01",182.88,152.4,90.45
"Thomas Jefferson in Elizabeth, New Jersey","Ed Beach","Right","1929","01","25",182.88,91.44,90
"Chaminade College Preparatory School in St. Louis, Missouri","Bradley Beal","Right","1993","06","28",182.88,152.4,93.15
"H.A. Hunt in Fort Valley, Georgia","Al Beard","Right","1942","04","27",182.88,274.32,90
"Breckenridge County in Hardinsburg, Kentucky","Butch Beard","Right","1947","05","04",182.88,91.44,83.25
"Male in Louisville, Kentucky","Ralph Beard","Right","1927","12","02",152.4,304.8,78.75
"Fair Park in Shreveport, Louisiana","Charles Beasley","Right","1945","09","23",182.88,152.4,85.5
"Moreno Valley in Moreno Valley, California","Jerome Beasley","Right","1980","05","17",182.88,304.8,106.65
"Linden-Kildare in Kildare, Texas","John Beasley","Right","1944","02","05",182.88,274.32,101.25
"Saint Francis in Alpharetta, Georgia","Malik Beasley","Right","1996","11","26",182.88,152.4,87.75
"Notre Dame Preparatory School in Fitchburg, Massachusetts","Michael Beasley","Left","1989","01","09",182.88,274.32,105.75
"Woodville in Woodville, Texas","Zelmo Beaty","Right","1939","10","25",182.88,274.32,101.25
"Oak Hill Academy in Mouth of Wilson, Virginia","Rodrigue Beaubois","Right","1988","02","24",182.88,0,76.5
"Kittitas in Ellensburg, Washington","Byron Beck","Right","1945","01","25",182.88,274.32,101.25
"Fairley in Memphis, Tennessee","Corey Beck","Right","1971","05","27",182.88,30.48,85.5
